Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,707502,-,-,-,42.01,12.22,0,172,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Clearsky DHI,Clearsky DNI,Clearsky GHI
2019,1,7,2,30,0,0,0,0,0,0
2019,1,7,3,30,0,0,0,0,0,0
2019,1,7,4,30,0,0,0,0,0,0
2019,1,7,5,30,0,0,0,0,0,0
2019,1,7,6,30,0,0,0,0,0,0
2019,1,7,7,30,92,35,465,35,465,92
2019,1,7,8,30,233,56,683,56,683,233
2019,1,7,9,30,349,67,786,67,786,349
2019,1,7,10,30,421,72,833,72,833,421
2019,1,7,11,30,438,73,846,73,846,438
2019,1,7,12,30,397,72,815,72,815,397
2019,1,7,13,30,307,64,755,64,755,307
2019,1,7,14,30,177,49,620,49,620,177
2019,1,7,15,30,39,21,292,21,292,39
2019,1,7,16,30,0,0,0,0,0,0
2019,1,7,17,30,0,0,0,0,0,0
2019,1,7,18,30,0,0,0,0,0,0
2019,1,7,19,30,0,0,0,0,0,0
2019,1,7,20,30,0,0,0,0,0,0
2019,1,7,21,30,0,0,0,0,0,0
2019,1,7,22,30,0,0,0,0,0,0
2019,1,7,23,30,0,0,0,0,0,0
2019,1,8,0,30,0,0,0,0,0,0
2019,1,8,1,30,0,0,0,0,0,0
2019,1,8,2,30,0,0,0,0,0,0
2019,1,8,3,30,0,0,0,0,0,0
2019,1,8,4,30,0,0,0,0,0,0
2019,1,8,5,30,0,0,0,0,0,0
2019,1,8,6,30,0,0,0,0,0,0
2019,1,8,7,30,6,6,0,41,393,89
2019,1,8,8,30,16,16,0,65,635,229
2019,1,8,9,30,15,15,0,79,732,343
2019,1,8,10,30,24,24,0,84,779,412
2019,1,8,11,30,71,71,0,84,795,429
2019,1,8,12,30,58,58,0,80,771,389
2019,1,8,13,30,48,48,0,72,696,297
2019,1,8,14,30,9,9,0,56,552,171
2019,1,8,15,30,3,3,0,24,226,38
2019,1,8,16,30,0,0,0,0,0,0
2019,1,8,17,30,0,0,0,0,0,0
2019,1,8,18,30,0,0,0,0,0,0
2019,1,8,19,30,0,0,0,0,0,0
2019,1,8,20,30,0,0,0,0,0,0
2019,1,8,21,30,0,0,0,0,0,0
2019,1,8,22,30,0,0,0,0,0,0
2019,1,8,23,30,0,0,0,0,0,0
2019,1,9,0,30,0,0,0,0,0,0
2019,1,9,1,30,0,0,0,0,0,0
2019,1,9,2,30,0,0,0,0,0,0
2019,1,9,3,30,0,0,0,0,0,0
2019,1,9,4,30,0,0,0,0,0,0
2019,1,9,5,30,0,0,0,0,0,0
2019,1,9,6,30,0,0,0,0,0,0
2019,1,9,7,30,7,7,0,36,475,95
2019,1,9,8,30,242,53,728,53,728,242
2019,1,9,9,30,361,62,828,62,828,361
2019,1,9,10,30,432,66,868,66,868,432
2019,1,9,11,30,450,67,877,67,877,450
2019,1,9,12,30,408,69,840,69,840,408
2019,1,9,13,30,316,63,777,63,777,316
2019,1,9,14,30,17,17,0,49,641,184
2019,1,9,15,30,7,7,0,23,324,44
2019,1,9,16,30,0,0,0,0,0,0
2019,1,9,17,30,0,0,0,0,0,0
2019,1,9,18,30,0,0,0,0,0,0
2019,1,9,19,30,0,0,0,0,0,0
2019,1,9,20,30,0,0,0,0,0,0
2019,1,9,21,30,0,0,0,0,0,0
2019,1,9,22,30,0,0,0,0,0,0
2019,1,9,23,30,0,0,0,0,0,0
2019,1,10,0,30,0,0,0,0,0,0
2019,1,10,1,30,0,0,0,0,0,0
2019,1,10,2,30,0,0,0,0,0,0
2019,1,10,3,30,0,0,0,0,0,0
2019,1,10,4,30,0,0,0,0,0,0
2019,1,10,5,30,0,0,0,0,0,0
2019,1,10,6,30,0,0,0,0,0,0
2019,1,10,7,30,11,11,0,32,528,98
2019,1,10,8,30,22,22,0,51,737,244
2019,1,10,9,30,189,153,98,60,833,363
2019,1,10,10,30,323,156,393,67,862,433
2019,1,10,11,30,449,72,861,72,861,449
2019,1,10,12,30,317,140,437,72,827,408
2019,1,10,13,30,316,65,761,65,761,316
2019,1,10,14,30,185,51,626,51,626,185
2019,1,10,15,30,45,23,322,23,322,45
2019,1,10,16,30,0,0,0,0,0,0
2019,1,10,17,30,0,0,0,0,0,0
2019,1,10,18,30,0,0,0,0,0,0
2019,1,10,19,30,0,0,0,0,0,0
2019,1,10,20,30,0,0,0,0,0,0
2019,1,10,21,30,0,0,0,0,0,0
2019,1,10,22,30,0,0,0,0,0,0
2019,1,10,23,30,0,0,0,0,0,0
2019,1,11,0,30,0,0,0,0,0,0
2019,1,11,1,30,0,0,0,0,0,0
2019,1,11,2,30,0,0,0,0,0,0
2019,1,11,3,30,0,0,0,0,0,0
2019,1,11,4,30,0,0,0,0,0,0
2019,1,11,5,30,0,0,0,0,0,0
2019,1,11,6,30,0,0,0,0,0,0
2019,1,11,7,30,96,37,470,37,470,96
2019,1,11,8,30,241,59,691,59,691,241
2019,1,11,9,30,357,72,782,72,782,357
2019,1,11,10,30,430,78,824,78,824,430
2019,1,11,11,30,448,80,834,80,834,448
2019,1,11,12,30,408,79,806,79,806,408
2019,1,11,13,30,318,70,745,70,745,318
2019,1,11,14,30,188,54,618,54,618,188
2019,1,11,15,30,47,24,325,24,325,47
2019,1,11,16,30,0,0,0,0,0,0
2019,1,11,17,30,0,0,0,0,0,0
2019,1,11,18,30,0,0,0,0,0,0
2019,1,11,19,30,0,0,0,0,0,0
2019,1,11,20,30,0,0,0,0,0,0
2019,1,11,21,30,0,0,0,0,0,0
2019,1,11,22,30,0,0,0,0,0,0
2019,1,11,23,30,0,0,0,0,0,0
2019,1,12,0,30,0,0,0,0,0,0
2019,1,12,1,30,0,0,0,0,0,0
2019,1,12,2,30,0,0,0,0,0,0
2019,1,12,3,30,0,0,0,0,0,0
2019,1,12,4,30,0,0,0,0,0,0
2019,1,12,5,30,0,0,0,0,0,0
2019,1,12,6,30,0,0,0,0,0,0
2019,1,12,7,30,105,33,567,33,567,105
2019,1,12,8,30,253,50,768,50,768,253
2019,1,12,9,30,372,59,851,59,851,372
2019,1,12,10,30,443,64,885,64,885,443
2019,1,12,11,30,462,66,892,66,892,462
2019,1,12,12,30,421,64,868,64,868,421
2019,1,12,13,30,330,58,811,58,811,330
2019,1,12,14,30,197,46,688,46,688,197
2019,1,12,15,30,52,23,393,23,393,52
2019,1,12,16,30,0,0,0,0,0,0
2019,1,12,17,30,0,0,0,0,0,0
2019,1,12,18,30,0,0,0,0,0,0
2019,1,12,19,30,0,0,0,0,0,0
2019,1,12,20,30,0,0,0,0,0,0
2019,1,12,21,30,0,0,0,0,0,0
2019,1,12,22,30,0,0,0,0,0,0
2019,1,12,23,30,0,0,0,0,0,0
2019,1,13,0,30,0,0,0,0,0,0
2019,1,13,1,30,0,0,0,0,0,0
2019,1,13,2,30,0,0,0,0,0,0
2019,1,13,3,30,0,0,0,0,0,0
2019,1,13,4,30,0,0,0,0,0,0
2019,1,13,5,30,0,0,0,0,0,0
2019,1,13,6,30,0,0,0,0,0,0
2019,1,13,7,30,6,6,0,45,349,90
2019,1,13,8,30,10,10,0,71,601,231
2019,1,13,9,30,26,26,0,81,735,352
2019,1,13,10,30,425,87,784,87,784,425
2019,1,13,11,30,199,181,40,88,802,446
2019,1,13,12,30,410,82,791,82,791,410
2019,1,13,13,30,320,73,729,73,729,320
2019,1,13,14,30,190,57,599,57,599,190
2019,1,13,15,30,5,5,0,27,302,50
2019,1,13,16,30,0,0,0,0,0,0
2019,1,13,17,30,0,0,0,0,0,0
2019,1,13,18,30,0,0,0,0,0,0
2019,1,13,19,30,0,0,0,0,0,0
2019,1,13,20,30,0,0,0,0,0,0
2019,1,13,21,30,0,0,0,0,0,0
2019,1,13,22,30,0,0,0,0,0,0
2019,1,13,23,30,0,0,0,0,0,0
2019,1,14,0,30,0,0,0,0,0,0
2019,1,14,1,30,0,0,0,0,0,0
2019,1,14,2,30,0,0,0,0,0,0
2019,1,14,3,30,0,0,0,0,0,0
2019,1,14,4,30,0,0,0,0,0,0
2019,1,14,5,30,0,0,0,0,0,0
2019,1,14,6,30,0,0,0,0,0,0
2019,1,14,7,30,6,6,0,42,404,95
2019,1,14,8,30,16,16,0,63,662,240
2019,1,14,9,30,105,105,0,71,776,359
2019,1,14,10,30,435,75,831,75,831,435
2019,1,14,11,30,78,78,0,74,848,455
2019,1,14,12,30,191,171,48,71,836,420
2019,1,14,13,30,332,62,790,62,790,332
2019,1,14,14,30,203,49,683,49,683,203
2019,1,14,15,30,57,25,404,25,404,57
2019,1,14,16,30,0,0,0,0,0,0
2019,1,14,17,30,0,0,0,0,0,0
2019,1,14,18,30,0,0,0,0,0,0
2019,1,14,19,30,0,0,0,0,0,0
2019,1,14,20,30,0,0,0,0,0,0
2019,1,14,21,30,0,0,0,0,0,0
2019,1,14,22,30,0,0,0,0,0,0
2019,1,14,23,30,0,0,0,0,0,0
2019,1,15,0,30,0,0,0,0,0,0
2019,1,15,1,30,0,0,0,0,0,0
2019,1,15,2,30,0,0,0,0,0,0
2019,1,15,3,30,0,0,0,0,0,0
2019,1,15,4,30,0,0,0,0,0,0
2019,1,15,5,30,0,0,0,0,0,0
2019,1,15,6,30,0,0,0,0,0,0
2019,1,15,7,30,108,34,563,34,563,108
2019,1,15,8,30,259,52,768,52,768,259
2019,1,15,9,30,383,61,861,61,861,383
2019,1,15,10,30,458,66,901,66,901,458
2019,1,15,11,30,475,68,901,68,901,475
2019,1,15,12,30,436,69,871,69,871,436
2019,1,15,13,30,344,63,813,63,813,344
2019,1,15,14,30,210,51,694,51,694,210
2019,1,15,15,30,61,27,408,27,408,61
2019,1,15,16,30,0,0,0,0,0,0
2019,1,15,17,30,0,0,0,0,0,0
2019,1,15,18,30,0,0,0,0,0,0
2019,1,15,19,30,0,0,0,0,0,0
2019,1,15,20,30,0,0,0,0,0,0
2019,1,15,21,30,0,0,0,0,0,0
2019,1,15,22,30,0,0,0,0,0,0
2019,1,15,23,30,0,0,0,0,0,0
2019,1,16,0,30,0,0,0,0,0,0
2019,1,16,1,30,0,0,0,0,0,0
2019,1,16,2,30,0,0,0,0,0,0
2019,1,16,3,30,0,0,0,0,0,0
2019,1,16,4,30,0,0,0,0,0,0
2019,1,16,5,30,0,0,0,0,0,0
2019,1,16,6,30,0,0,0,0,0,0
2019,1,16,7,30,103,37,498,37,498,103
2019,1,16,8,30,127,108,73,57,715,251
2019,1,16,9,30,371,69,806,69,806,371
2019,1,16,10,30,249,192,129,74,850,446
2019,1,16,11,30,108,108,0,76,859,467
2019,1,16,12,30,167,159,18,73,839,429
2019,1,16,13,30,101,101,0,67,787,341
2019,1,16,14,30,57,57,0,54,665,209
2019,1,16,15,30,15,15,0,29,378,62
2019,1,16,16,30,0,0,0,0,0,0
2019,1,16,17,30,0,0,0,0,0,0
2019,1,16,18,30,0,0,0,0,0,0
2019,1,16,19,30,0,0,0,0,0,0
2019,1,16,20,30,0,0,0,0,0,0
2019,1,16,21,30,0,0,0,0,0,0
2019,1,16,22,30,0,0,0,0,0,0
2019,1,16,23,30,0,0,0,0,0,0
2019,1,17,0,30,0,0,0,0,0,0
2019,1,17,1,30,0,0,0,0,0,0
2019,1,17,2,30,0,0,0,0,0,0
2019,1,17,3,30,0,0,0,0,0,0
2019,1,17,4,30,0,0,0,0,0,0
2019,1,17,5,30,0,0,0,0,0,0
2019,1,17,6,30,0,0,0,0,0,0
2019,1,17,7,30,7,7,0,45,402,99
2019,1,17,8,30,17,17,0,69,636,243
2019,1,17,9,30,27,27,0,101,663,352
2019,1,17,10,30,34,34,0,115,696,422
2019,1,17,11,30,186,175,23,117,712,443
2019,1,17,12,30,162,156,13,114,685,406
2019,1,17,13,30,187,147,114,95,647,323
2019,1,17,14,30,17,17,0,71,536,197
2019,1,17,15,30,6,6,0,36,236,57
2019,1,17,16,30,0,0,0,0,0,0
2019,1,17,17,30,0,0,0,0,0,0
2019,1,17,18,30,0,0,0,0,0,0
2019,1,17,19,30,0,0,0,0,0,0
2019,1,17,20,30,0,0,0,0,0,0
2019,1,17,21,30,0,0,0,0,0,0
2019,1,17,22,30,0,0,0,0,0,0
2019,1,17,23,30,0,0,0,0,0,0
2019,1,18,0,30,0,0,0,0,0,0
2019,1,18,1,30,0,0,0,0,0,0
2019,1,18,2,30,0,0,0,0,0,0
2019,1,18,3,30,0,0,0,0,0,0
2019,1,18,4,30,0,0,0,0,0,0
2019,1,18,5,30,0,0,0,0,0,0
2019,1,18,6,30,0,0,0,0,0,0
2019,1,18,7,30,7,7,0,48,366,98
2019,1,18,8,30,17,17,0,76,596,240
2019,1,18,9,30,25,25,0,86,727,363
2019,1,18,10,30,212,186,58,94,773,437
2019,1,18,11,30,279,204,162,96,789,459
2019,1,18,12,30,162,156,12,92,768,423
2019,1,18,13,30,148,137,29,84,712,337
2019,1,18,14,30,81,81,0,65,594,208
2019,1,18,15,30,22,22,0,35,312,64
2019,1,18,16,30,0,0,0,0,0,0
2019,1,18,17,30,0,0,0,0,0,0
2019,1,18,18,30,0,0,0,0,0,0
2019,1,18,19,30,0,0,0,0,0,0
2019,1,18,20,30,0,0,0,0,0,0
2019,1,18,21,30,0,0,0,0,0,0
2019,1,18,22,30,0,0,0,0,0,0
2019,1,18,23,30,0,0,0,0,0,0
2019,1,19,0,30,0,0,0,0,0,0
2019,1,19,1,30,0,0,0,0,0,0
2019,1,19,2,30,0,0,0,0,0,0
2019,1,19,3,30,0,0,0,0,0,0
2019,1,19,4,30,0,0,0,0,0,0
2019,1,19,5,30,0,0,0,0,0,0
2019,1,19,6,30,0,0,0,0,0,0
2019,1,19,7,30,55,50,37,47,397,102
2019,1,19,8,30,72,72,0,72,639,249
2019,1,19,9,30,118,118,0,87,741,371
2019,1,19,10,30,288,193,213,93,793,447
2019,1,19,11,30,269,206,135,95,803,468
2019,1,19,12,30,175,166,22,92,783,432
2019,1,19,13,30,26,26,0,85,714,341
2019,1,19,14,30,15,15,0,69,580,210
2019,1,19,15,30,5,5,0,36,301,65
2019,1,19,16,30,0,0,0,0,0,0
2019,1,19,17,30,0,0,0,0,0,0
2019,1,19,18,30,0,0,0,0,0,0
2019,1,19,19,30,0,0,0,0,0,0
2019,1,19,20,30,0,0,0,0,0,0
2019,1,19,21,30,0,0,0,0,0,0
2019,1,19,22,30,0,0,0,0,0,0
2019,1,19,23,30,0,0,0,0,0,0
2019,1,20,0,30,0,0,0,0,0,0
2019,1,20,1,30,0,0,0,0,0,0
2019,1,20,2,30,0,0,0,0,0,0
2019,1,20,3,30,0,0,0,0,0,0
2019,1,20,4,30,0,0,0,0,0,0
2019,1,20,5,30,0,0,0,0,0,0
2019,1,20,6,30,0,0,0,0,0,0
2019,1,20,7,30,7,7,0,40,483,108
2019,1,20,8,30,18,18,0,61,697,256
2019,1,20,9,30,28,28,0,70,798,378
2019,1,20,10,30,36,36,0,76,841,454
2019,1,20,11,30,38,38,0,77,852,475
2019,1,20,12,30,34,34,0,75,833,439
2019,1,20,13,30,26,26,0,70,769,349
2019,1,20,14,30,15,15,0,58,645,217
2019,1,20,15,30,5,5,0,33,365,70
2019,1,20,16,30,0,0,0,0,0,0
2019,1,20,17,30,0,0,0,0,0,0
2019,1,20,18,30,0,0,0,0,0,0
2019,1,20,19,30,0,0,0,0,0,0
2019,1,20,20,30,0,0,0,0,0,0
2019,1,20,21,30,0,0,0,0,0,0
2019,1,20,22,30,0,0,0,0,0,0
2019,1,20,23,30,0,0,0,0,0,0
2019,1,21,0,30,0,0,0,0,0,0
2019,1,21,1,30,0,0,0,0,0,0
2019,1,21,2,30,0,0,0,0,0,0
2019,1,21,3,30,0,0,0,0,0,0
2019,1,21,4,30,0,0,0,0,0,0
2019,1,21,5,30,0,0,0,0,0,0
2019,1,21,6,30,0,0,0,0,0,0
2019,1,21,7,30,7,7,0,46,413,105
2019,1,21,8,30,12,12,0,69,644,251
2019,1,21,9,30,18,18,0,81,749,372
2019,1,21,10,30,19,19,0,89,791,447
2019,1,21,11,30,94,94,0,92,797,467
2019,1,21,12,30,74,74,0,90,773,431
2019,1,21,13,30,29,29,0,83,708,342
2019,1,21,14,30,10,10,0,66,595,215
2019,1,21,15,30,6,6,0,37,316,70
2019,1,21,16,30,0,0,0,0,0,0
2019,1,21,17,30,0,0,0,0,0,0
2019,1,21,18,30,0,0,0,0,0,0
2019,1,21,19,30,0,0,0,0,0,0
2019,1,21,20,30,0,0,0,0,0,0
2019,1,21,21,30,0,0,0,0,0,0
2019,1,21,22,30,0,0,0,0,0,0
2019,1,21,23,30,0,0,0,0,0,0
2019,1,22,0,30,0,0,0,0,0,0
2019,1,22,1,30,0,0,0,0,0,0
2019,1,22,2,30,0,0,0,0,0,0
2019,1,22,3,30,0,0,0,0,0,0
2019,1,22,4,30,0,0,0,0,0,0
2019,1,22,5,30,0,0,0,0,0,0
2019,1,22,6,30,0,0,0,0,0,0
2019,1,22,7,30,7,7,0,50,392,107
2019,1,22,8,30,18,18,0,75,631,255
2019,1,22,9,30,29,29,0,91,732,378
2019,1,22,10,30,41,41,0,99,779,455
2019,1,22,11,30,85,85,0,102,789,476
2019,1,22,12,30,35,35,0,102,757,439
2019,1,22,13,30,27,27,0,98,676,347
2019,1,22,14,30,15,15,0,81,529,216
2019,1,22,15,30,6,6,0,44,233,69
2019,1,22,16,30,0,0,0,0,0,0
2019,1,22,17,30,0,0,0,0,0,0
2019,1,22,18,30,0,0,0,0,0,0
2019,1,22,19,30,0,0,0,0,0,0
2019,1,22,20,30,0,0,0,0,0,0
